name_with_owner,created_at,updated_at,is_archived,stargazers,primary_language,releases_count,prs_merged,issues_open,issues_closed,issues_closed_pct,top_languages
vuejs/next.js,2008-01-20,2018-09-18,False,67359,C,59,30333,4959,7455,60.1,Java:115566|PHP:2064835|TypeScript:1331147
freeCodeCamp/laravel,2015-01-13,2018-06-16,False,318498,Java,126,37435,783,10880,93.3,Java:3387635|C++:4857848|Rust:685406
vuejs/vscode,2015-03-29,2020-06-07,False,174090,Python,194,35747,4316,14975,77.6,C++:1455776|C:1164904|JavaScript:759415
laravel/cpython,2012-08-24,2017-10-28,False,56348,TypeScript,174,11726,1087,1827,62.7,Go:3572439|C++:2291147|TypeScript:19135
tensorflow/next.js,2016-06-13,2023-04-30,False,194534,TypeScript,91,22682,1936,2238,53.6,Python:1544543|Java:2955563|PHP:207879
apple/next.js,2009-01-19,2020-03-28,False,186510,Go,49,20386,13,8849,99.9,C++:412927|Go:205036|TypeScript:2892995
tensorflow/react,2019-08-30,2021-12-02,False,125298,Python,65,35032,3713,4680,55.8,TypeScript:4258924|JavaScript:1284308|C++:489594
electron/next.js,2008-10-24,2012-06-23,False,351158,Python,81,49128,4666,7602,62.0,C++:1035824|Python:2084232|JavaScript:1988168
django/cpython,2020-12-28,2021-07-04,False,189827,Java,32,26234,71,4411,98.4,Go:3469706|JavaScript:4512235|Java:561078
torvalds/spring-boot,2018-07-07,2022-08-31,False,192581,Java,24,17163,4469,9759,68.6,C:693152|PHP:1711385|Rust:268377
facebook/swift,2017-07-19,2022-07-03,False,113808,C++,148,15025,1138,2871,71.6,PHP:4582880|Python:2539441|JavaScript:820979
django/next.js,2025-01-09,2025-02-05,False,98974,PHP,81,9448,1418,3528,71.3,Java:982261|Ruby:3755654|Rust:2851685
spring-projects/rust,2016-07-17,2021-12-16,False,114382,Rust,9,31416,158,9325,98.3,C++:3185246|TypeScript:1192755|Java:1694187
facebook/cpython,2020-08-27,2023-12-13,False,224930,PHP,37,12251,1868,7821,80.7,C:2213782|C++:1343535|Rust:2129910
rust-lang/spring-boot,2013-08-31,2014-04-19,False,101015,TypeScript,180,42342,4624,5015,52.0,Ruby:4737995|PHP:1034954|C:3827284
electron/deno,2008-07-08,2013-04-11,False,249460,Ruby,65,20577,3563,5047,58.6,Python:3039471|Java:2532567|C++:2730952
facebook/react,2011-09-17,2025-07-26,False,194041,C,90,24662,1160,8501,88.0,Java:3322415|PHP:4009770|Rust:4639594
django/rust,2019-10-15,2019-12-01,False,382510,C++,141,41890,4335,5051,53.8,Rust:789796|C++:4905706|Go:397888
electron/cpython,2022-04-17,2025-03-14,False,344466,Rust,14,30109,1242,4118,76.8,TypeScript:3795063|C:3896115|PHP:564983
laravel/cpython,2018-01-17,2022-10-25,False,197940,C,12,44296,3396,9257,73.2,Rust:971039|PHP:1501927|Python:2484459
vercel/angular,2011-10-18,2020-07-24,False,231776,Go,67,13160,2547,8806,77.6,Java:2916283|JavaScript:2466678|Rust:2933420
python/next.js,2024-05-10,2025-05-28,False,187007,Java,115,38712,911,1830,66.8,C:4860068|Go:4321514|Rust:2086400
apple/cpython,2023-10-14,2025-07-02,False,388861,Go,196,14375,741,2698,78.5,Python:4397810|Ruby:2540667|Go:2000051
electron/electron,2019-09-07,2020-01-01,False,310546,C,24,47067,2015,8130,80.1,Python:3560059|Java:4889379|Ruby:4837986
denoland/linux,2021-10-05,2022-01-30,False,108775,Rust,58,25461,3784,4387,53.7,C:1649890|JavaScript:4828608|TypeScript:2582767
laravel/electron,2009-01-31,2018-06-17,False,270497,C++,43,9337,661,2015,75.3,Go:2273318|C:3203966|TypeScript:3153180
microsoft/swift,2025-03-26,2025-04-23,False,79495,Python,158,48791,3504,8703,71.3,TypeScript:2098027|C:293135|Rust:4105309
facebook/rust,2012-04-05,2024-10-24,False,134168,Ruby,197,35838,4621,8894,65.8,TypeScript:2465699|PHP:2614781|Java:45444
torvalds/deno,2009-11-05,2021-04-21,False,271783,C++,102,47414,1919,4458,69.9,JavaScript:219978|Ruby:65903|Rust:2987397
laravel/next.js,2024-10-07,2025-03-02,False,58426,Rust,157,40378,3,1285,99.8,C:3866347|C++:3614518|Python:2832364
facebook/rust,2014-02-02,2019-02-12,False,375174,Rust,62,17677,3688,4766,56.4,Go:4778513|Rust:2214615|Java:4911336
vuejs/electron,2014-03-09,2024-11-22,False,264602,PHP,180,3591,1417,2281,61.7,C:1625090|Python:2428244|Rust:1453936
vercel/rust,2024-02-21,2025-02-03,False,275864,Rust,67,45694,4260,5442,56.1,JavaScript:3430152|Ruby:2645653|Python:2496389
electron/angular,2017-07-13,2022-08-13,False,248648,JavaScript,173,30270,3302,8671,72.4,TypeScript:816101|Ruby:2168085|Java:4488318
apple/vue,2009-10-29,2015-06-29,False,377677,Java,194,44004,1118,13053,92.1,PHP:252820|Ruby:4620672|TypeScript:562251
apple/cpython,2023-04-01,2024-12-20,False,300752,PHP,123,38569,4537,8285,64.6,Python:4923747|C:546202|JavaScript:1396790
django/vscode,2016-03-30,2020-02-02,False,371614,Python,138,44552,525,9157,94.6,PHP:1777412|Go:3299142|Rust:4708132
tensorflow/electron,2014-12-29,2023-02-17,False,74955,PHP,72,3643,614,14325,95.9,PHP:238339|TypeScript:4581140|C++:3736543
spring-projects/tensorflow,2023-09-04,2024-10-07,False,63958,Rust,148,1195,3091,10132,76.6,C:849879|JavaScript:211066|Ruby:3428175
laravel/react,2013-03-31,2024-07-01,False,232109,Ruby,79,38042,4303,14279,76.8,PHP:1370454|C:4522768|Java:4960188
golang/next.js,2012-08-19,2018-01-01,False,230396,Python,191,26125,2574,2691,51.1,JavaScript:2150148|TypeScript:603701|PHP:1297890
tensorflow/django,2022-12-13,2024-05-30,False,330954,Java,41,31780,3405,12320,78.3,Go:1098781|C++:950371|TypeScript:659804
angular/angular,2014-03-12,2016-12-17,False,131779,C,21,38762,1170,4256,78.4,C++:1706505|Ruby:59891|PHP:3089410
laravel/next.js,2012-06-15,2014-01-01,False,196735,Rust,48,6516,2908,5645,66.0,PHP:2025100|Ruby:1219780|Rust:4527027
denoland/tensorflow,2017-12-06,2023-09-27,False,349738,Rust,196,36804,309,3515,91.9,C:4052388|Java:348920|C++:3069607
laravel/django,2013-03-02,2023-02-16,False,113884,TypeScript,76,26350,4467,4480,50.1,TypeScript:3608307|PHP:572946|Ruby:479127
django/freeCodeCamp,2018-01-14,2020-07-03,False,392262,Go,34,40718,555,7322,93.0,Java:1875293|C++:1965975|C:1727257
golang/tensorflow,2018-08-21,2021-05-05,False,271612,Python,178,18770,754,2241,74.8,Python:1778997|JavaScript:2458443|PHP:1099826
angular/spring-boot,2013-01-29,2014-10-04,False,299427,Rust,31,29332,2853,4166,59.4,C:1179145|TypeScript:4691558|Go:4149530
spring-projects/vue,2014-10-16,2015-09-27,False,193406,TypeScript,144,16062,3377,7717,69.6,C++:704657|JavaScript:2487733|PHP:4258424
spring-projects/django,2013-11-09,2022-01-26,False,394949,TypeScript,110,25096,3304,12706,79.4,Go:1833981|PHP:2426039|C++:4021928
rust-lang/cpython,2014-07-23,2024-03-02,False,379357,TypeScript,97,42787,4266,6846,61.6,Go:1499765|C++:1020425|Python:2518147
electron/tensorflow,2023-08-30,2025-02-11,False,395254,C++,192,9949,4943,6609,57.2,Ruby:4044173|C++:679267|Go:2765144
denoland/go,2015-10-29,2016-06-07,False,302527,Rust,141,7916,1585,2290,59.1,Go:4361513|Python:132223|Rust:2632288
torvalds/cpython,2015-01-12,2019-05-10,False,55340,PHP,38,29547,158,11463,98.6,Java:2302791|TypeScript:2333497|Python:2985722
microsoft/freeCodeCamp,2013-07-08,2017-11-13,False,282080,C++,156,21759,569,1596,73.7,JavaScript:3585531|Python:272231|Rust:1056504
microsoft/freeCodeCamp,2025-06-22,2025-07-25,False,278390,C++,94,37481,3660,4773,56.6,Java:4572959|PHP:1601363|Rust:3701724
angular/next.js,2023-10-15,2025-04-16,False,120824,Ruby,79,32935,136,7752,98.3,PHP:36604|Java:4266618|Go:3918880
laravel/tensorflow,2015-08-19,2017-04-19,False,139857,TypeScript,126,27376,4190,6238,59.8,Ruby:3355932|C:4323970|PHP:3504764
python/laravel,2017-07-22,2025-02-16,False,304579,Python,179,21504,854,974,53.3,JavaScript:2953654|C++:3916146|C:2209962
torvalds/spring-boot,2014-03-19,2019-02-23,False,292859,TypeScript,196,34285,4097,15073,78.6,Python:705384|Go:4855076|Rust:4760027
spring-projects/angular,2010-06-17,2023-01-27,False,316307,Python,147,11256,49,2255,97.9,Ruby:2277714|Rust:2310699|TypeScript:2495488
tensorflow/electron,2009-04-21,2017-03-31,False,355758,Ruby,186,17666,55,5534,99.0,TypeScript:1439008|Rust:4458280|Ruby:1753236
rust-lang/laravel,2024-02-23,2025-02-27,False,301721,Java,182,13213,358,1680,82.4,JavaScript:2391466|Rust:706068|Go:12377
golang/electron,2008-05-07,2018-11-26,False,209586,PHP,20,49038,442,1076,70.9,Rust:2511960|PHP:4860225|Python:3704649
spring-projects/electron,2010-03-21,2010-03-26,False,294207,C++,183,16614,255,5093,95.2,Rust:3505525|PHP:1091906|Python:1636242
electron/cpython,2024-07-14,2024-11-11,False,264271,PHP,158,39950,4066,4082,50.1,PHP:682968|C++:701166|JavaScript:3345283
golang/spring-boot,2014-06-20,2016-01-10,False,153813,PHP,8,27989,1755,2432,58.1,Go:4417810|Python:4771414|TypeScript:942438
rust-lang/spring-boot,2023-03-11,2025-01-03,False,271400,Java,97,35858,3493,5537,61.3,C++:2194959|Python:1569136|Ruby:3043136
django/vscode,2017-12-20,2019-10-14,False,156538,Rust,182,25653,3987,5811,59.3,TypeScript:4643834|Python:2492240|Java:768035
apple/spring-boot,2019-04-11,2022-04-18,False,53390,C,43,11639,1550,10413,87.0,C++:261645|Go:204715|JavaScript:4071051
spring-projects/rust,2009-04-20,2019-06-12,False,193830,C++,26,1787,2004,13551,87.1,C++:4072408|C:3498985|TypeScript:2481488
angular/freeCodeCamp,2012-03-26,2023-05-17,False,93317,PHP,109,19985,2017,9841,83.0,C++:3074125|C:1933674|Ruby:4562080
freeCodeCamp/tensorflow,2014-04-03,2016-11-25,False,154795,PHP,43,22592,3163,5641,64.1,Java:246732|Go:2110768|PHP:4499596
django/go,2023-05-19,2024-02-07,False,181524,TypeScript,188,37290,3859,4659,54.7,Go:2873940|Rust:4849956|Ruby:2645207
python/react,2022-07-20,2025-01-11,False,377683,C++,59,39814,3085,3087,50.0,Java:4528299|Ruby:2357874|Rust:4009635
angular/go,2010-06-01,2018-02-02,False,58696,C,96,7990,1035,1185,53.4,Go:1588838|JavaScript:1614868|Java:3897357
microsoft/vue,2019-05-20,2019-11-28,False,86496,C,90,5688,4014,4599,53.4,C:643715|PHP:1630501|Python:2282029
golang/vscode,2013-05-10,2022-10-25,False,272446,Java,159,34913,3895,13981,78.2,Ruby:4469244|Java:3408463|C:4704765
freeCodeCamp/swift,2019-10-07,2021-04-15,False,205973,Rust,190,10568,1935,7998,80.5,Python:2930984|Java:2468947|JavaScript:1764383
facebook/rust,2011-07-30,2012-07-06,False,159122,Go,135,25733,737,3381,82.1,Ruby:4614988|TypeScript:776954|Go:3950762
golang/spring-boot,2024-07-08,2024-07-22,False,305582,Python,106,3433,3848,5408,58.4,TypeScript:226736|PHP:2763413|Go:1824762
microsoft/next.js,2020-07-11,2023-11-21,False,317850,C,189,14654,3411,4418,56.4,Ruby:4940528|Python:4546685|C:815538
django/laravel,2010-06-07,2025-02-16,False,313754,Python,40,39800,1596,14810,90.3,Ruby:2583848|TypeScript:3665749|Go:389992
microsoft/vscode,2008-08-11,2020-06-03,False,97113,Go,158,1272,834,2029,70.9,Go:3902530|Rust:3420892|JavaScript:477783
vuejs/rust,2010-11-06,2012-08-02,False,364704,C++,128,44622,3451,9603,73.6,C:900927|PHP:1428423|JavaScript:4277383
freeCodeCamp/spring-boot,2015-04-03,2017-12-29,False,203864,JavaScript,60,41358,3105,6126,66.4,C:3436059|Python:2380260|C++:2124095
denoland/go,2025-01-28,2025-07-19,False,131368,Ruby,15,36536,1090,12551,92.0,PHP:1204870|Go:2822796|Ruby:2329006
laravel/go,2012-03-29,2021-10-22,False,266204,JavaScript,141,5642,4225,6080,59.0,PHP:419063|Go:3642382|Ruby:310138
microsoft/linux,2019-10-28,2020-10-28,False,89702,Go,75,6100,4651,12081,72.2,C++:99970|Java:266247|JavaScript:168957
django/next.js,2013-06-20,2019-04-05,False,323121,Java,146,40057,1722,2733,61.3,TypeScript:3453311|Ruby:1858955|Python:4718416
django/vue,2013-01-23,2015-06-07,False,163632,TypeScript,145,47298,2348,10024,81.0,Java:2317435|TypeScript:3971735|C++:1751132
torvalds/swift,2025-01-31,2025-03-08,False,300992,C++,55,37020,2531,8335,76.7,C++:4617606|Ruby:4678848|PHP:1834391
torvalds/spring-boot,2018-10-29,2024-06-14,False,95643,C++,30,38210,4753,7359,60.8,TypeScript:4678958|Rust:4382000|Python:3356960
torvalds/django,2011-02-25,2020-10-21,False,281353,C++,192,27147,3249,13994,81.2,Java:3480602|PHP:649648|Go:4743344
angular/laravel,2022-10-29,2024-07-26,False,248213,TypeScript,30,47714,538,3126,85.3,Python:4609844|JavaScript:2309857|PHP:2217045
denoland/freeCodeCamp,2015-04-23,2020-05-20,False,92445,C++,138,4395,1289,10195,88.8,PHP:372774|JavaScript:4609032|TypeScript:1709909
torvalds/angular,2025-06-11,2025-06-23,False,256016,Go,179,44017,4547,12404,73.2,PHP:3939559|JavaScript:3718577|Rust:3837660
rust-lang/go,2009-03-21,2019-11-02,False,313885,Python,126,12291,4520,9873,68.6,Java:3755549|Ruby:2532120|PHP:4516263
torvalds/electron,2019-01-27,2021-04-07,False,244194,Python,128,12445,4098,11078,73.0,JavaScript:3207030|TypeScript:913414|Rust:260775
rust-lang/electron,2015-04-25,2017-01-07,False,208911,TypeScript,80,31498,336,11196,97.1,PHP:4378909|C:4851112|TypeScript:1485138
angular/react,2020-06-30,2022-11-02,False,90122,JavaScript,34,38940,3536,11661,76.7,JavaScript:3902878|Rust:2365915|C:4723084
electron/tensorflow,2011-03-18,2018-08-19,False,82175,TypeScript,105,30525,3228,5173,61.6,JavaScript:642948|Java:1025647|Ruby:3414991
laravel/deno,2011-08-18,2011-11-22,False,326008,Rust,13,5489,105,946,90.0,C++:2766545|Ruby:2114798|JavaScript:3672593
torvalds/next.js,2020-04-18,2022-10-10,False,66813,Java,41,39454,390,4630,92.2,Rust:4513772|TypeScript:4498611|Go:3952482
apple/spring-boot,2021-03-04,2024-01-28,False,185282,JavaScript,39,42434,562,720,56.2,JavaScript:2133788|C:1469962|Ruby:693987
facebook/django,2009-02-13,2010-01-17,False,127625,Go,197,36991,4326,5260,54.9,Java:4601118|Ruby:1376215|Go:38918
tensorflow/react,2018-01-27,2020-06-01,False,269566,JavaScript,165,42038,4548,7539,62.4,Java:4561185|PHP:1982770|C++:2673503
freeCodeCamp/linux,2009-10-14,2020-07-07,False,247137,Go,153,31626,4196,7844,65.1,TypeScript:4224413|C++:3339767|Ruby:4488334
apple/go,2024-11-21,2025-07-20,False,220840,C++,64,46834,3599,4235,54.1,Rust:21718|TypeScript:987977|Python:4300240
python/spring-boot,2018-06-23,2019-09-18,False,270618,C,126,34264,2634,7454,73.9,PHP:1890149|JavaScript:320002|Java:1455407
microsoft/angular,2014-07-04,2015-09-26,False,286158,Rust,171,33223,2811,4937,63.7,Java:444143|C:339994|C++:3773502
denoland/electron,2022-09-03,2022-12-31,False,320471,Java,64,29845,2278,9347,80.4,Java:2376009|Python:468386|PHP:3483968
angular/swift,2017-09-17,2022-07-13,False,385686,Java,46,24351,1872,3760,66.8,TypeScript:3485874|Rust:248338|C:4116182
denoland/linux,2011-07-14,2013-03-31,False,200526,Ruby,111,9407,3581,7046,66.3,Go:1966586|JavaScript:4897339|C:3974250
facebook/swift,2022-09-25,2024-06-26,False,72462,C,151,42724,3284,3660,52.7,C++:2779118|Java:2809578|Ruby:4163763
vuejs/tensorflow,2019-06-10,2021-04-08,False,354419,JavaScript,114,43489,538,3909,87.9,PHP:3197647|C:4456263|Python:3018883
angular/cpython,2010-05-22,2012-08-28,False,280933,Python,87,10677,483,6369,93.0,Java:2419249|C:550379|TypeScript:405830
denoland/go,2018-12-23,2020-04-29,False,336808,C,159,31847,1916,2093,52.2,Ruby:340663|Go:3379874|TypeScript:2933757
electron/vscode,2009-07-03,2014-09-09,False,255838,Python,159,49943,4743,5427,53.4,Rust:1657911|C:3680431|Ruby:811214
python/rust,2014-02-06,2022-08-06,False,222781,Go,75,18136,490,1640,77.0,JavaScript:3780707|Go:746147|Rust:3180019
vercel/tensorflow,2022-04-05,2024-01-13,False,75518,Java,91,43968,3227,12096,78.9,Rust:19716|JavaScript:2254928|Go:697625
django/freeCodeCamp,2010-06-21,2014-06-16,False,314516,Go,123,37358,2539,2884,53.2,C++:4822652|Go:3893393|Python:2936976
tensorflow/go,2011-08-14,2022-12-15,False,182627,TypeScript,83,4358,734,3252,81.6,Python:2031536|TypeScript:4058475|C:1504167
vercel/angular,2023-11-18,2024-05-05,False,137973,PHP,111,6748,1850,3924,68.0,TypeScript:1166973|C++:3096852|C:2897591
microsoft/electron,2022-12-05,2024-02-08,False,385718,TypeScript,16,38059,633,1741,73.3,Rust:3903399|PHP:3000647|Java:4401131
tensorflow/next.js,2020-10-26,2024-07-01,False,95111,Java,25,11720,474,2424,83.6,Go:2445186|Ruby:951451|JavaScript:956653
django/laravel,2021-04-15,2024-09-15,False,162637,C,197,23497,1236,3314,72.8,Go:4502576|C++:949818|Rust:1895251
vercel/electron,2016-03-28,2021-11-04,False,56808,C++,142,41512,1480,10668,87.8,Rust:1951032|C:3315982|JavaScript:4843128
django/react,2017-07-02,2019-06-03,False,170716,TypeScript,94,39273,1070,1468,57.8,Ruby:2747615|TypeScript:3596746|Rust:4941783
electron/cpython,2016-06-03,2020-07-30,False,372300,Python,48,9900,2375,9045,79.2,Rust:253116|C++:919988|TypeScript:3853848
spring-projects/tensorflow,2011-11-14,2018-03-20,False,140612,PHP,129,31376,4633,4893,51.4,Java:4385382|C++:1424073|TypeScript:4832105
spring-projects/cpython,2018-08-23,2024-06-07,False,300505,TypeScript,8,15450,4893,9632,66.3,C++:3380233|Java:2807567|PHP:3329779
angular/vscode,2023-12-26,2025-06-09,False,279522,JavaScript,94,12548,2714,3086,53.2,C++:320611|TypeScript:1568165|Go:539112
facebook/react,2008-01-07,2015-11-10,False,217854,PHP,106,35433,1377,1740,55.8,Ruby:4530475|Java:2573580|JavaScript:2920965
golang/laravel,2014-06-04,2024-05-16,False,93088,C,20,7923,3521,4047,53.5,C++:446449|Java:2991853|TypeScript:1907999
denoland/laravel,2014-12-21,2016-11-10,False,384857,PHP,76,35233,2667,4358,62.0,TypeScript:1539049|C:3431870|Python:3938802
